"419";"Niki";"Kiril";"JAPAN";"5";"5";"5";"*****";"1";"0"
"420";"Niki";"Kiril";"JAPAN";"5";"4";"5";"*****";"2";"0"
"421";"Niki";"Kiril";"LIBERIA";"5";"5";"7";"*******";"1";"0"
"422";"Niki";"Kiril";"LIBERIA";"5";"4";"7";"*******";"2";"0"
"423";"Niki";"Kiril";"LIBERIA";"5";"4";"7";"******A";"2";"0"
"424";"Niki";"Kiril";"LIBERIA";"5";"3";"7";"******A";"3";"0"
"425";"Niki";"Kiril";"LIBERIA";"5";"3";"7";"L*****A";"3";"0"
"426";"Niki";"Kiril";"LIBERIA";"5";"3";"7";"LI***IA";"3";"0"
"427";"Niki";"Kiril";"BRUNEI-DARUSSALAM";"5";"5";"17";"******-**********";"1";"0"
"428";"Niki";"Kiril";"BRUNEI-DARUSSALAM";"5";"5";"17";"******-D*********";"1";"0"
"429";"Niki";"Kiril";"BRUNEI-DARUSSALAM";"5";"5";"17";"****E*-D*********";"1";"0"
"430";"Niki";"Kiril";"BRUNEI-DARUSSALAM";"5";"4";"17";"****E*-D*********";"2";"0"
"431";"Niki";"Kiril";"CHILE";"5";"5";"5";"*****";"1";"0"
"432";"Niki";"Kiril";"CHILE";"5";"5";"5";"****E";"1";"0"
"433";"Niki";"Kiril";"CHILE";"5";"4";"5";"****E";"2";"0"
"434";"Niki";"Kiril";"CHAD";"5";"5";"4";"****";"1";"0"
"435";"Niki";"Kiril";"CHAD";"5";"4";"4";"****";"2";"0"
"436";"Niki";"Kiril";"CHAD";"5";"3";"4";"****";"3";"0"
"437";"Niki";"Kiril";"BOLIVIA";"5";"5";"7";"*******";"1";"0"
"438";"Niki";"Kiril";"BOLIVIA";"5";"4";"7";"*******";"2";"0"
"439";"Niki";"Kiril";"BOLIVIA";"5";"4";"7";"******A";"2";"0"
"440";"Niki";"Kiril";"TOTTENHAM";"5";"5";"9";"*********";"1";"0"
"441";"Niki";"Kiril";"TOTTENHAM";"5";"5";"9";"T*TT*****";"1";"0"
"442";"Niki";"Kiril";"TOTTENHAM";"5";"4";"9";"T*TT*****";"2";"0"
"443";"Niki";"Kiril";"BELARUS";"5";"5";"7";"*******";"1";"0"
"444";"Niki";"Kiril";"AMERICAN-SAMOA";"5";"5";"14";"********-*****";"1";"0"
"445";"Niki";"Kiril";"AMERICAN-SAMOA";"5";"4";"14";"********-*****";"2";"1"
"446";"Niki";"Kiril";"TRINIDAD-AND-TOBAGO";"5";"5";"19";"********-***-******";"1";"0"
"447";"Niki";"Kiril";"TRINIDAD-AND-TOBAGO";"5";"4";"19";"********-***-******";"2";"1"
"448";"Niki";"Kiril";"QATAR";"5";"5";"5";"*****";"1";"0"
"449";"Niki";"Kiril";"QATAR";"5";"5";"5";"Q****";"1";"0"
"450";"Niki";"Kiril";"QATAR";"5";"5";"5";"QA*A*";"1";"0"
"451";"Niki";"Kiril";"QATAR";"5";"4";"5";"QA*A*";"2";"1"
"452";"Niki";"Kiril";"QATAR";"5";"4";"5";"QATA*";"2";"0"
"453";"Niki";"Kiril";"QATAR";"5";"3";"5";"QATA*";"3";"1"
"454";"Niki";"Kiril";"QATAR";"5";"3";"5";"QATAR";"3";"0"
"455";"Niki";"Kiril";"LIBERIA";"5";"5";"7";"*******";"1";"0"
"456";"Niki";"Kiril";"LIBERIA";"5";"5";"7";"***E***";"1";"0"
"457";"Niki";"Kiril";"LIBERIA";"5";"4";"7";"***E***";"2";"1"
"458";"Niki";"Kiril";"LIBERIA";"5";"3";"7";"***E***";"3";"1"
"459";"Niki";"Kiril";"ANTIGUA-AND-BARBUDA";"5";"5";"19";"*******-***-*******";"1";"0"
"460";"Niki";"Kiril";"CZECH-REPUBLIC";"5";"5";"14";"*****-********";"1";"0"
"461";"Niki";"Kiril";"NAMIBIA";"5";"5";"7";"*******";"1";"0"
"462";"Niki";"Kiril";"NAMIBIA";"5";"4";"7";"*******";"2";"1"
"463";"Niki";"Kiril";"MALI";"5";"5";"4";"****";"1";"0"
"464";"Niki";"Kiril";"MALI";"5";"4";"4";"****";"2";"1"
"465";"Niki";"Kiril";"MALI";"5";"3";"4";"****";"3";"1"
"466";"Niki";"Kiril";"MALI";"5";"3";"4";"*A**";"3";"0"
"467";"Niki";"Kiril";"HONDURAS";"5";"5";"8";"********";"1";"0"
"468";"Niki";"Kiril";"MARSHALL-ISLANDS";"5";"5";"16";"********-*******";"1";"0"
"469";"Niki";"Kiril";"MARSHALL-ISLANDS";"5";"5";"16";"*A***A**-***A***";"1";"0"
"470";"Niki";"Kiril";"MARSHALL-ISLANDS";"5";"4";"16";"*A***A**-***A***";"2";"1"
"471";"Niki";"Kiril";"MARSHALL-ISLANDS";"5";"4";"16";"*A**HA**-***A***";"2";"0"
"472";"Niki";"Kiril";"MARSHALL-ISLANDS";"5";"3";"16";"*A**HA**-***A***";"3";"1"
"473";"Niki";"Kiril";"MARSHALL-ISLANDS";"5";"2";"16";"*A**HA**-***A***";"4";"1"
"474";"Niki";"Kiril";"MARSHALL-ISLANDS";"5";"2";"16";"*A**HALL-**LA***";"4";"0"
"475";"Niki";"Kiril";"CHRISTMAS-ISLAND";"5";"5";"16";"*********-******";"1";"0"
"476";"Niki";"Kiril";"AMERICAN-SAMOA";"5";"5";"14";"********-*****";"1";"0"
"477";"Niki";"Kiril";"AMERICAN-SAMOA";"5";"4";"14";"********-*****";"2";"1"
"478";"Niki";"Kiril";"AMERICAN-SAMOA";"5";"4";"14";"A*****A*-*A**A";"2";"0"
